EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-03-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BORDEAUX-MERIGNAC (STAID: 34).
Blended and updated with sources: 175646 907510 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175646,19211012,   68,    0
175646,19211013,   80,    0
175646,19211014,   79,    0
175646,19211015,   74,    0
175646,19211016,   76,    0
175646,19211017,   70,    0
175646,19211018,   64,    0
175646,19211019,   81,    0
175646,19211020,   75,    0
175646,19211021,   79,    0
175646,19211022,   90,    0
175646,19211023,   74,    0
175646,19211024,   56,    0
175646,19211025,   57,    0
175646,19211026,   66,    0
175646,19211027,   79,    0
175646,19211028,   74,    0
175646,19211029,   89,    0
175646,19211030,   73,    0
175646,19211031,   88,    0
175646,19211101,   86,    0
175646,19211102,   77,    0
175646,19211103,   85,    0
175646,19211104,   95,    0
175646,19211105,   25,    0
175646,19211106,   88,    0
175646,19211107,   75,    0
175646,19211108,   76,    0
175646,19211109,   71,    0
175646,19211110,   75,    0
175646,19211111,   86,    0
175646,19211112,   75,    0
175646,19211113,   67,    0
175646,19211114,   62,    0
175646,19211115,   69,    0
175646,19211116,   81,    0
175646,19211117,   97,    0
175646,19211118,   95,    0
175646,19211119,   78,    0
175646,19211120,   76,    0
175646,19211121,   82,    0
175646,19211122,   88,    0
175646,19211123,   79,    0
175646,19211124,   74,    0
175646,19211125,   97,    0
175646,19211126,   88,    0
175646,19211127,   20,    0
175646,19211128,   95,    0
175646,19211129,   97,    0
175646,19211130,   89,    0
175646,19211201,   70,    0
175646,19211202,   78,    0
175646,19211203,   89,    0
175646,19211204,   84,    0
175646,19211205,   98,    0
175646,19211206,   88,    0
175646,19211207,   96,    0
175646,19211208,  100,    0
175646,19211209,   95,    0
175646,19211210,   92,    0
175646,19211211,   95,    0
175646,19211212,   91,    0
175646,19211213,   94,    0
175646,19211214,   97,    0
175646,19211215,   89,    0
175646,19211216,   79,    0
175646,19211217,   97,    0
175646,19211218,   95,    0
175646,19211219,   87,    0
175646,19211220,   95,    0
175646,19211221,   97,    0
175646,19211222,   92,    0
175646,19211223,   88,    0
175646,19211224,   79,    0
175646,19211225,   80,    0
175646,19211226,   90,    0
175646,19211227,  100,    0
175646,19211228,   95,    0
175646,19211229,   94,    0
175646,19211230,   87,    0
175646,19211231,   70,    0
175646,19220101,   77,    0
175646,19220102,   95,    0
175646,19220103,   82,    0
175646,19220104,   79,    0
175646,19220105,   85,    0
175646,19220106,   97,    0
175646,19220107,  100,    0
175646,19220108,   97,    0
175646,19220109,   95,    0
175646,19220110,   97,    0
175646,19220111,   82,    0
175646,19220112,   85,    0
175646,19220113,   78,    0
175646,19220114,   72,    0
175646,19220115,   85,    0
175646,19220116,   95,    0
175646,19220117,   86,    0
175646,19220118,   85,    0
175646,19220119,   75,    0
175646,19220120,   93,    0
175646,19220121,   83,    0
175646,19220122,   79,    0
175646,19220123,   79,    0
175646,19220124,   95,    0
175646,19220125,   65,    0
175646,19220126,   94,    0
175646,19220127,   95,    0
175646,19220128,   85,    0
175646,19220129,   88,    0
175646,19220130,   92,    0
175646,19220131,   94,    0
175646,19220201,   81,    0
175646,19220202,   95,    0
175646,19220203,   78,    0
175646,19220204,   83,    0
175646,19220205,   79,    0
175646,19220206,   60,    0
175646,19220207,   66,    0
175646,19220208,   67,    0
175646,19220209,   82,    0
175646,19220210,   71,    0
175646,19220211,   77,    0
